radius,weight,pos_err_x,pos_err_y,yaw_err,vel_err_x,vel_err_y,yaw_rate_err,joint_dev_norm
1.125,4000.0,0.0449332059094024,-0.2916065089502333,-0.17281000513557648,-0.1656754639755564,-0.5303411976655901,-0.1147537317273783,113.83701000413609
1.125,5000.0,0.0186112139151382,-0.1658416434345264,-0.1620984293109844,-0.5070242309348811,-0.6816221036605375,-0.8964729321547009,113.54910822236836
1.125,6000.0,-0.0598760274571679,-0.1834314374113305,-0.2146234539419174,0.967380044024624,-0.5110197000384361,-0.4737580816318429,114.15452459525324
1.125,7000.0,-0.008431923909591,-0.18971793621949234,-0.1976622723842966,1.033576170361127,-0.49953880481065466,-0.6635186857335984,112.66376481343728
1.125,8000.0,-0.0859983377246031,-0.1822381399517655,-0.1317779864190844,-0.0602387261595609,-0.4129397172096286,-0.7224265604610662,112.87424837523749
1.125,9000.0,0.0121900162672689,-0.577094133156983,-0.090654147650377,0.6265783335770365,-0.4129397172096286,-1.4306189636401565,113.93812632909328
1.125,10000.0,0.0457583770309663,-0.2799515245673638,-0.193703019217831,0.2961823420288318,-0.269846737966728,-0.3206930257620395,114.16931152625553
1.125,11000.0,0.0315479943420998,-0.4326709087112436,-0.0621496979785511,1.1280121246812933,-1.0714329854236295,-1.4606885156752525,112.42581248683128
1.125,12000.0,0.0425269674184894,-0.2811360804636897,-0.18921780212349243,0.4529840423766367,-1.2314316161028187,-2.669185120297036,111.71520347179349
1.125,13000.0,-0.2497237937590679,-0.2528790433733721,-0.3505211749902424,0.1780636253365422,0.8969217681575478,-0.9328106539822809,112.73060001034342
1.125,14000.0,0.029455198736345,-0.4854250206350585,-0.0702957040129281,0.8112098314496623,-0.25378754822791627,-1.510191070088335,111.35709527054316
1.125,15000.0,0.0309710269652171,-0.1462649172073149,-0.1229513355205345,-0.4459577884447374,-0.1990549441081094,-0.711371866812287,113.72278795948284
1.125,16000.0,0.037033399458679,-0.2164960423558635,-0.1607244024595158,-0.0384189653891458,-0.6330174687541352,-0.9092156482648487,112.28916159805608
